RA,DEC
188.2214,64.14747
125.9584,1.93375
122.8764,2.102333
122.8752,2.101361
163.2399,4.341667
147.4028,4.116278
153.7244,4.354306
157.1574,4.979611
165.4228,5.7405
123.6528,38.56436
122.5032,38.08925
111.8504,27.75625
216.1881,62.35608
216.1881,62.35744
224.8455,59.84956
139.0475,49.65258
140.6379,50.43533
148.59,53.65136
112.2723,26.91694
149.1997,54.38925
112.6284,28.27294
122.6585,39.43778
123.9155,40.33992
125.4456,42.23378
125.452,42.23314
149.912,0.5868056
149.916,0.5868889
151.9484,0.5673889
154.1688,0.468
161.2633,0.5407778
144.3233,-2.790056
148.9938,-3.028139
148.1329,-2.446944
148.9438,-2.526028
148.9407,-2.528194
144.7899,-1.20425
145.1656,-1.248611
146.2506,-1.309667
146.2481,-1.308639
167.9252,63.4873
171.2072,64.65064
166.8063,65.09811
192.1812,3.994056
193.1593,3.928917
227.5363,2.83375
197.9615,4.408444
205.9668,4.164694
209.2259,3.933667
191.8349,4.807333
198.9122,4.771695
208.8201,4.457056
239.9433,2.688611
240.1785,2.655222
229.8497,3.791667
212.5076,5.087722
212.5888,5.270306
228.8031,4.374833
189.8195,6.087972
238.992,53.729
238.9914,53.72792
226.6259,60.59453
241.2065,53.43858
245.4178,50.27394
248.3481,47.31744
247.4474,49.0822
256.2745,39.03753
203.6958,57.40047
203.6968,57.39997
176.2308,58.47794
127.1305,41.57769
131.1956,44.74231
153.366,55.09308
171.1218,58.52278
172.1392,58.56281
172.1313,58.5643
139.2585,50.04572
139.2547,50.04625
127.8799,43.389
146.8159,53.82394
146.8241,53.82203
148.5407,54.94528
169.2267,59.53081
178.3192,60.40786
165.1868,59.38911
184.3353,60.88317
187.5032,60.86878
243.7414,46.73033
235.6908,53.3195
249.5586,41.9388
249.5542,41.93975
257.455,32.29922
261.4526,25.89325
261.4529,25.89156
255.1651,35.50664
243.0907,48.64542
259.5289,29.99603
259.5287,29.99486
232.5747,55.61431
240.0192,51.79661
240.019,51.79805
256.375,35.27286
256.8177,34.82386
244.9735,42.43756
247.119,41.21994
255.8105,31.45467
254.9549,33.9943
249.397,40.8785
249.5878,40.81722
229.387,1.151333
232.5801,1.721
250.469,38.82619
255.6691,33.52031
258.9132,29.07378
261.0983,25.60861
204.1845,-3.497917
204.1834,-3.500861
205.1151,-3.114889
203.2073,-2.709583
208.8905,-2.666361
212.55,-2.557444
206.6511,-1.718889
209.0999,-1.785056
205.6623,-1.464833
207.4845,-1.342306
206.8333,-3.163722
218.5038,-3.063472
226.8127,-2.745111
203.9329,-2.887056
222.335,-2.463444
219.6996,-1.809861
230.7526,-1.337694
233.1582,-1.397611
206.242,-1.496333
210.6756,-1.200111
257.467,34.26859
221.3832,-2.743472
223.4829,-2.795944
233.2976,-2.311333
215.2999,-1.645556
222.711,5.119639
222.7155,5.120417
228.5373,4.714417
211.9437,6.387389
219.8516,5.950639
233.0968,4.625805
228.359,5.6615
222.8514,6.801417
222.8519,6.797945
222.8491,6.801111
341.447,13.03903
348.2089,13.65625
333.9782,12.61519
351.0536,14.35486
351.0514,14.35372
0.2649167,14.57894
318.5292,10.60606
338.513,13.55794
346.1267,14.2805
359.2684,15.106
359.9528,15.02319
346.8708,14.83364
1.47475,15.89486
336.9643,-10.09186
333.5733,-9.192306
334.108,-9.285194
344.5476,-10.09358
332.4637,-8.787139
332.4632,-8.787945
333.8901,-8.8285
333.891,-8.829473
335.5143,-9.049055
335.7044,-9.0395
254.1011,73.6812
256.212,72.13123
256.2053,72.13089
256.2188,72.13319
265.8767,55.5773
260.6003,68.69664
260.6062,68.69991
260.603,68.6962
267.7509,51.55455
266.4706,60.82294
265.452,65.8243
265.4497,65.82539
267.8171,60.18158
268.0879,59.61364
268.0905,59.61319
268.4504,57.3805
265.5101,68.04197
265.9699,67.0098
265.9712,67.01056
325.9,-1.059028
325.8995,-1.060861
317.8011,-0.6406944
322.2525,0.1839167
321.4577,0.9403055
325.8289,0.9946945
316.7056,-0.85825
318.1992,-1.045111
318.1988,-1.042167
318.5183,-0.01122222
334.1678,-0.9666389
334.1681,-0.9676389
5.433167,-0.8536389
6.7815,-0.8417222
6.782042,-0.8391389
326.9571,-0.5336944
329.9471,-0.4456389
4.621333,-0.53925
9.919375,-0.5596945
14.84271,-0.5276667
351.2577,-0.0003888889
351.251,-0.002222222
356.1931,-0.08905555
7.228542,-0.07305556
5.536208,0.3668056
0.7059583,0.7518611
13.97779,0.6580833
340.6111,1.195278
5.757333,1.183306
146.6025,50.4173
155.0917,53.25919
153.9394,53.40139
157.0368,54.31589
162.3424,55.88925
16.33054,-1.011833
50.18921,-1.044722
29.56729,-0.5225
54.86354,-0.477
18.48792,-0.1930556
18.92033,-0.1405833
21.55142,-0.02463889
21.55033,-0.02413889
35.75942,-0.1436667
43.80092,-0.1835556
43.79871,-0.18525
43.79562,-0.1785556
27.04725,0.337
32.95171,0.2781389
35.41696,1.163417
42.29438,1.182833
132.74,40.19217
116.8493,27.53431
138.9864,44.32708
117.8669,29.72986
120.7418,32.49495
127.5877,36.77419
130.2195,38.64636
137.8259,43.46106
139.2887,44.81503
145.7805,47.84622
134.0088,42.26961
136.5036,43.93872
139.6639,45.50564
122.5839,34.50245
139.1939,45.81256
139.1943,45.81544
141.1322,46.84564
142.615,47.32084
176.7564,53.78281
181.2558,54.06717
181.2541,54.06794
183.543,54.52206
187.6519,54.44855
155.5249,51.07994
163.9375,53.49175
166.5806,53.92203
175.7411,54.95742
175.7432,54.95605
185.1662,55.38558
156.9997,52.49283
158.42,52.79731
170.555,54.95683
158.2215,53.11492
170.0409,55.22986
170.5567,55.29978
116.1244,28.78944
125.2539,37.71197
124.489,36.73231
114.5246,27.1307
118.6034,31.79447
116.8536,30.39894
122.7342,36.82814
127.415,40.95664
175.5279,56.1917
170.4598,56.5335
186.8447,57.40242
192.728,57.23328
191.9518,57.63228
194.4303,57.52978
