RA,DEC,nvotes,elliptical,edge_on_disk,dont_know,merger,face_on_spiral,type
239.3828,-0.4676667,19,0.368000000715,0.0,0.0,0.0,0.632000029087,face_on_spiral
239.7921,-0.6006389,24,0.082999996841,0.25,0.0419999994338,0.0,0.625000003725,face_on_spiral
240.5818,-0.4326667,25,0.0,0.159999996424,0.0,0.0,0.839999973774,face_on_spiral
241.1649,-0.4250556,24,0.0419999994338,0.125,0.0,0.0,0.833999995142,face_on_spiral
241.3206,-0.4880556,30,0.133000001311,0.166999995708,0.0329999998212,0.0,0.666000016034,face_on_spiral
241.3788,-0.5242778,29,0.0689999982715,0.0,0.0,0.172000005841,0.758999995887,face_on_spiral
241.8292,-0.4439722,20,0.0,0.10000000149,0.0,0.0,0.900000024587,face_on_spiral
242.2326,-0.4713611,32,0.0619999989867,0.218999996781,0.0,0.0,0.71899998188,face_on_spiral
242.2747,-0.5746389,32,0.0309999994934,0.0619999989867,0.0,0.0,0.90600001812,face_on_spiral
242.6117,-0.4393889,33,0.211999997497,0.0299999993294,0.0299999993294,0.0,0.726999998093,face_on_spiral
243.6877,-0.4675556,30,0.0,0.0670000016689,0.0,0.0,0.933000028133,face_on_spiral
244.4968,-0.4984167,23,0.0,0.0,0.0,0.0,1.0,face_on_spiral
244.9355,-0.47925,54,0.111000001431,0.166999995708,0.0189999993891,0.0,0.703999996185,face_on_spiral
245.8755,-0.4383889,52,0.115000002086,0.0769999995828,0.0379999987781,0.0189999993891,0.75,face_on_spiral
246.6956,-0.5101111,22,0.0,0.0,0.0,0.0450000017881,0.954999983311,face_on_spiral
246.9959,-0.4895556,30,0.0329999998212,0.133000001311,0.0,0.0,0.833000004292,face_on_spiral
248.1203,-0.4788611,40,0.0750000029802,0.10000000149,0.0,0.0250000003725,0.800000011921,face_on_spiral
248.7008,-0.50625,33,0.0,0.0,0.0,0.0,1.0,face_on_spiral
248.8945,-0.4523333,21,0.189999997616,0.189999997616,0.0,0.0,0.619000017643,face_on_spiral
249.4965,-0.4984722,40,0.0250000003725,0.0250000003725,0.0,0.0,0.949999988079,face_on_spiral
238.7367,-0.2093889,37,0.0,0.0,0.0,0.0,0.999999981374,face_on_spiral
240.137,-0.1662778,22,0.0450000017881,0.0,0.0450000017881,0.0,0.909000024199,face_on_spiral
241.8545,-0.1661667,26,0.0379999987781,0.0,0.0,0.0379999987781,0.922999978065,face_on_spiral
242.4354,-0.07011111,30,0.166999995708,0.166999995708,0.0670000016689,0.0,0.600000023842,face_on_spiral
242.7318,-0.1481944,57,0.246000006795,0.104999996722,0.0,0.035000000149,0.614000022411,face_on_spiral
243.0764,-0.05125,29,0.0340000018477,0.0340000018477,0.0,0.0,0.930999994278,face_on_spiral
243.2368,-0.09625,49,0.0,0.0,0.0,0.0,1.0,face_on_spiral
243.237,-0.1001944,26,0.0,0.0,0.0379999987781,0.0,0.962000012398,face_on_spiral
244.8756,-0.03852778,35,0.0,0.0,0.0,0.0,1.0000000149,face_on_spiral
245.7973,-0.1092778,51,0.118000000715,0.157000005245,0.0390000008047,0.0,0.686000015587,face_on_spiral
247.425,-0.1671111,52,0.0379999987781,0.0579999983311,0.0189999993891,0.0579999983311,0.827000027522,face_on_spiral
247.5308,-0.1934444,31,0.0320000015199,0.0,0.0,0.0320000015199,0.935000002384,face_on_spiral
247.8497,-0.03605556,31,0.16099999845,0.16099999845,0.0320000015199,0.0,0.644999980927,face_on_spiral
247.9475,-0.1715833,20,0.0500000007451,0.20000000298,0.0500000007451,0.0,0.699999988079,face_on_spiral
248.0642,-0.04994445,31,0.097000002861,0.128999993205,0.0,0.0,0.773999985307,face_on_spiral
248.2753,-0.1890833,30,0.10000000149,0.0670000016689,0.0329999998212,0.166999995708,0.633000016212,face_on_spiral
236.7567,0.4007778,35,0.0289999991655,0.0860000029206,0.0289999991655,0.0289999991655,0.828999996185,face_on_spiral
237.1745,0.2704167,22,0.0450000017881,0.0,0.0,0.0,0.954999983311,face_on_spiral
239.1622,0.3511111,26,0.0769999995828,0.153999999166,0.0,0.0,0.769000004977,face_on_spiral
239.6267,0.227,26,0.268999993801,0.0769999995828,0.0,0.0,0.653999984264,face_on_spiral
239.767,0.2462222,24,0.082999996841,0.125,0.0,0.0419999994338,0.75,face_on_spiral
240.0723,0.2371111,70,0.11400000006,0.171000003815,0.10000000149,0.0,0.613999981433,face_on_spiral
240.4984,0.31975,22,0.0,0.181999996305,0.0,0.0,0.818000018597,face_on_spiral
241.878,0.3173889,29,0.0,0.103000000119,0.0,0.0340000018477,0.861999988556,face_on_spiral
241.7766,0.2388333,31,0.128999993205,0.194000005722,0.0,0.0320000015199,0.644999977201,face_on_spiral
242.9267,0.3880556,32,0.0,0.0,0.0,0.0,1.0,face_on_spiral
244.1815,0.2464722,27,0.0,0.0,0.0,0.0,1.0,face_on_spiral
244.38,0.2415,65,0.0769999995828,0.0460000000894,0.0309999994934,0.0149999996647,0.830999970436,face_on_spiral
244.5589,0.2937222,32,0.0939999967813,0.0619999989867,0.0,0.0309999994934,0.811999976635,face_on_spiral
244.6345,0.2470278,69,0.0719999969006,0.0140000004321,0.0140000004321,0.0140000004321,0.884000003338,face_on_spiral
244.6625,0.3677222,31,0.0,0.0,0.0,0.0,0.999999996275,face_on_spiral
244.6836,0.3553056,31,0.0,0.0,0.0,0.0,0.999999996275,face_on_spiral
246.5242,0.3523056,20,0.20000000298,0.10000000149,0.0500000007451,0.0,0.65000000596,face_on_spiral
246.8752,0.3094167,41,0.0489999987185,0.0,0.0,0.0240000002086,0.926999986172,face_on_spiral
247.745,0.27225,44,0.0,0.0230000000447,0.0,0.0230000000447,0.954999981448,face_on_spiral
248.4696,0.2504167,44,0.158999994397,0.136000007391,0.0450000017881,0.0450000017881,0.614000020549,face_on_spiral
248.8506,0.3103056,26,0.0,0.0379999987781,0.0,0.0,0.962000012398,face_on_spiral
249.4669,0.2733056,20,0.0,0.0,0.0,0.0,1.0,face_on_spiral
241.9756,0.6749445,60,0.0670000016689,0.282999992371,0.0170000009239,0.0170000009239,0.617000024766,face_on_spiral
242.6735,0.6456389,26,0.0379999987781,0.0379999987781,0.0,0.0,0.922999978065,face_on_spiral
166.2423,-1.105611,36,0.166999995708,0.166999995708,0.0280000008643,0.0,0.639000002295,face_on_spiral
170.9436,-1.104889,29,0.0340000018477,0.0,0.0,0.0689999982715,0.895999990404,face_on_spiral
170.9459,-1.108333,32,0.0,0.0,0.0,0.0309999994934,0.96899998188,face_on_spiral
170.9405,-1.103667,61,0.0,0.0,0.01600000076,0.0489999987185,0.934000015259,face_on_spiral
170.9492,-1.101083,34,0.0,0.0,0.0879999995232,0.0879999995232,0.823000028729,face_on_spiral
174.9344,-1.13775,56,0.107000000775,0.0179999992251,0.0359999984503,0.0,0.838999986649,face_on_spiral
180.0985,-1.100083,58,0.0,0.0,0.0,0.0,1.0,face_on_spiral
180.0932,-1.100806,33,0.0299999993294,0.0,0.0,0.0,0.97000002861,face_on_spiral
194.3422,-1.057972,33,0.0,0.0,0.0,0.0,1.0,face_on_spiral
197.4173,-1.051389,33,0.0,0.0,0.0299999993294,0.0,0.97000002861,face_on_spiral
198.0293,-1.124139,25,0.0799999982119,0.0,0.0,0.0799999982119,0.840000011027,face_on_spiral
199.8438,-1.129417,32,0.0309999994934,0.0939999967813,0.0,0.0939999967813,0.78100001812,face_on_spiral
203.2687,-1.049028,31,0.0320000015199,0.0320000015199,0.097000002861,0.0,0.838999986649,face_on_spiral
208.2269,-1.114639,31,0.0,0.0,0.0,0.0,1.0,face_on_spiral
208.378,-1.050556,24,0.125,0.166999995708,0.082999996841,0.0,0.625,face_on_spiral
167.41,-0.8314444,24,0.0419999994338,0.25,0.0,0.0,0.708000004292,face_on_spiral
176.4063,-0.8248333,59,0.0170000009239,0.101999998093,0.0340000018477,0.0680000036955,0.780000012368,face_on_spiral
196.3724,-0.6497778,32,0.0939999967813,0.156000003219,0.0619999989867,0.0,0.688000023365,face_on_spiral
205.139,-0.7163333,52,0.268999993801,0.0960000008345,0.0,0.0189999993891,0.615000020713,face_on_spiral
208.5568,-0.7766944,30,0.0670000016689,0.0670000016689,0.0329999998212,0.0329999998212,0.800000011921,face_on_spiral
212.0339,-0.8272778,55,0.0909999981523,0.0359999984503,0.0,0.0,0.873000025749,face_on_spiral
229.418,-0.7115278,63,0.0790000036359,0.0480000004172,0.01600000076,0.0,0.857000021264,face_on_spiral
237.2354,-0.6614722,68,0.103000000119,0.118000000715,0.0149999996647,0.0,0.764999985695,face_on_spiral
237.2679,-0.6731945,27,0.0,0.0,0.0,0.0,1.0,face_on_spiral
240.2815,-0.7114444,37,0.162000000477,0.162000000477,0.0540000014007,0.0,0.621999979019,face_on_spiral
241.0831,-0.6387222,28,0.0,0.0359999984503,0.0,0.0359999984503,0.929000005126,face_on_spiral
165.8907,-0.2640556,38,0.158000007272,0.104999996722,0.0,0.0,0.736999988556,face_on_spiral
168.6452,-0.2425278,28,0.0710000023246,0.0710000023246,0.143000006676,0.0359999984503,0.679000020027,face_on_spiral
168.6444,-0.24225,34,0.0590000003576,0.0,0.0,0.0590000003576,0.882000029087,face_on_spiral
177.9104,-0.2514444,45,0.0439999997616,0.0,0.0,0.111000001431,0.84399998188,face_on_spiral
188.7944,-0.2211389,62,0.0,0.0,0.0,0.0,1.0,face_on_spiral
199.495,-0.3116667,30,0.0,0.0329999998212,0.0,0.300000011921,0.666999995708,face_on_spiral
207.0625,-0.3947222,32,0.0,0.0,0.0,0.0,1.0000000149,face_on_spiral
211.2621,-0.2514167,38,0.0,0.131999999285,0.0,0.0529999993742,0.815999984741,face_on_spiral
215.599,-0.3876667,23,0.0,0.0,0.0,0.0,1.0,face_on_spiral
215.5993,-0.3738056,26,0.0,0.0,0.0379999987781,0.0,0.962000012398,face_on_spiral
219.4722,-0.3988889,43,0.0469999983907,0.0230000000447,0.0230000000447,0.0469999983907,0.860000014305,face_on_spiral
219.4758,-0.3979167,34,0.0289999991655,0.0289999991655,0.0879999995232,0.0590000003576,0.794000029564,face_on_spiral
219.4708,-0.3951944,27,0.0740000009537,0.111000001431,0.0740000009537,0.0,0.740999996662,face_on_spiral
220.048,-0.2889722,55,0.0,0.0179999992251,0.0359999984503,0.0,0.944999992847,face_on_spiral
221.5522,-0.2253889,28,0.143000006676,0.21400000155,0.0359999984503,0.0,0.607000008225,face_on_spiral
226.7245,-0.3568889,58,0.0,0.0340000018477,0.0,0.172000005841,0.792999982834,face_on_spiral
232.2743,-0.3477222,30,0.0329999998212,0.0,0.0,0.0670000016689,0.899999976158,face_on_spiral
238.6983,-0.3153889,55,0.0,0.0179999992251,0.0179999992251,0.0,0.962999992073,face_on_spiral
238.7387,-0.2354167,69,0.0289999991655,0.0430000014603,0.0,0.129999995232,0.796999992803,face_on_spiral
238.8485,-0.3183056,33,0.0,0.0,0.0299999993294,0.0,0.97000002861,face_on_spiral
238.8656,-0.3455278,51,0.0390000008047,0.019999999553,0.0,0.0,0.941999990493,face_on_spiral
239.0848,-0.2712222,41,0.0240000002086,0.0729999989271,0.0489999987185,0.0489999987185,0.803999971598,face_on_spiral
240.3768,-0.2868056,34,0.0289999991655,0.0590000003576,0.0,0.0,0.912000000477,face_on_spiral
240.3825,-0.3324444,71,0.0560000017285,0.155000001192,0.0850000008941,0.0,0.703999996185,face_on_spiral
241.8439,-0.3796944,52,0.0769999995828,0.0579999983311,0.0,0.0,0.865000009537,face_on_spiral
241.9037,-0.3436944,32,0.0619999989867,0.0619999989867,0.125,0.0,0.75,face_on_spiral
244.4064,-0.2308611,33,0.0,0.0,0.0610000006855,0.0299999993294,0.908999979496,face_on_spiral
246.221,-0.4059444,30,0.133000001311,0.0670000016689,0.0329999998212,0.0,0.76700001955,face_on_spiral
247.4093,-0.2734444,28,0.0710000023246,0.0710000023246,0.0359999984503,0.0710000023246,0.749999985099,face_on_spiral
247.6434,-0.2131667,38,0.0,0.0,0.0790000036359,0.0,0.921000003815,face_on_spiral
248.2954,-0.2132778,59,0.0,0.0170000009239,0.0170000009239,0.0170000009239,0.948999982327,face_on_spiral
248.2985,-0.2110833,65,0.0309999994934,0.0149999996647,0.0769999995828,0.0,0.876999988221,face_on_spiral
249.0527,-0.3536667,34,0.0,0.0,0.0590000003576,0.264999985695,0.676000013947,face_on_spiral
249.3189,-0.2317222,77,0.0780000016093,0.233999997377,0.0,0.0,0.688000023365,face_on_spiral
249.7031,-0.3512222,34,0.118000000715,0.0,0.0879999995232,0.0289999991655,0.764999985695,face_on_spiral
173.9035,0.13125,28,0.21400000155,0.107000000775,0.0,0.0710000023246,0.606999978423,face_on_spiral
175.8548,0.01405556,31,0.0320000015199,0.0,0.0320000015199,0.0,0.935000002384,face_on_spiral
192.9961,0.07811111,32,0.0939999967813,0.156000003219,0.0309999994934,0.0309999994934,0.687000017613,face_on_spiral
193.8027,0.1166389,35,0.0,0.0570000000298,0.0,0.0,0.943000018597,face_on_spiral
205.0505,0.006416667,32,0.0939999967813,0.0619999989867,0.0,0.0,0.84399998188,face_on_spiral
205.4847,0.06530555,39,0.103000000119,0.0769999995828,0.0260000005364,0.0260000005364,0.768999993801,face_on_spiral
208.1856,0.1302778,24,0.082999996841,0.166999995708,0.0,0.0,0.75,face_on_spiral
217.5903,0.1213889,36,0.0,0.0,0.0280000008643,0.361000001431,0.611000001431,face_on_spiral
218.0908,0.1781111,30,0.0329999998212,0.0,0.0,0.0,0.967000007629,face_on_spiral
218.719,0.1760833,36,0.138999998569,0.0560000017285,0.0560000017285,0.0280000008643,0.722000002861,face_on_spiral
222.5155,0.0975,26,0.0,0.0,0.0,0.0,1.0,face_on_spiral
223.3961,0.01038889,20,0.0,0.0,0.0,0.0500000007451,0.949999988079,face_on_spiral
225.5249,0.1151667,32,0.0,0.0309999994934,0.0,0.0,0.96899998188,face_on_spiral
229.143,0.1111111,34,0.0,0.0,0.0,0.0,1.0,face_on_spiral
