RA,DEC
178.1586,-1.224306
178.8926,-1.232361
178.8729,-1.139833
179.2061,-1.197972
179.2757,-1.063528
179.3434,-1.1515
179.5368,-1.084889
179.5368,-1.071694
179.5289,-1.072556
179.7263,-1.14875
180.1647,-1.050778
180.3473,-1.156694
181.8831,-1.244222
181.9836,-1.063361
183.0386,-1.077833
183.3779,-1.18375
183.5605,-1.077528
183.7439,-1.144194
183.75,-1.144389
184.7516,-1.104139
184.8724,-1.081639
185.0079,-1.189806
185.7475,-1.180583
185.9818,-1.2365
186.5767,-1.135417
187.7304,-1.09825
188.3925,-1.082194
188.9056,-1.183
189.4671,-1.112306
189.549,-1.16175
189.7967,-1.179694
190.195,-1.056806
190.2272,-1.122667
190.3676,-1.26025
190.4048,-1.053639
190.6234,-1.185361
190.6387,-1.192722
190.6779,-1.231222
190.6838,-1.232528
190.7738,-1.139639
190.8445,-1.235889
191.8768,-1.234917
192.0651,-1.187944
192.47,-1.185278
192.6563,-1.169167
192.7513,-1.094722
193.2174,-1.05725
193.9406,-1.138722
194.3081,-1.200389
194.5715,-1.169806
195.4847,-1.07
195.873,-1.185889
197.7469,-1.068
199.0275,-1.211028
199.041,-1.049111
199.3058,-1.168694
199.8925,-1.088889
200.4434,-1.1605
202.6117,-1.142528
202.7295,-1.116611
203.0732,-1.133917
203.2785,-1.132611
203.3942,-1.075639
203.6538,-1.061417
203.7487,-1.164
204.0124,-1.152611
204.2938,-1.150194
204.3608,-1.087944
204.3683,-1.076889
205.2433,-1.144333
205.598,-1.067472
208.3912,-1.070222
208.6055,-1.053778
209.1974,-1.071972
209.9394,-1.052389
210.341,-1.119944
212.3403,-1.086861
213.9937,-1.088667
216.3392,-1.049028
165.3661,-0.7168334
165.6032,-0.6621111
165.8918,-0.7880555
166.3857,-0.69875
166.3894,-0.6357778
166.405,-0.7447778
166.4777,-0.7767222
166.5762,-0.8268611
166.6305,-0.6668611
166.7105,-0.8112222
166.8322,-0.6383611
167.0299,-0.6955556
167.2625,-0.7120833
167.3965,-0.6927222
167.3839,-0.66775
167.4313,-0.7886389
169.2317,-0.6575556
169.6366,-0.6851111
169.5955,-0.7968611
170.1413,-0.76025
170.6457,-0.79075
170.6828,-0.6791389
171.7412,-0.7434722
172.5218,-0.7300278
172.4824,-0.8176944
172.7712,-0.7739444
172.917,-0.7740555
173.3855,-0.76
173.7849,-0.7283611
174.0143,-0.8018611
174.5398,-0.6986945
174.9783,-0.8100833
175.2895,-0.6393889
175.3219,-0.8176389
175.8275,-0.7381111
176.2755,-0.8023889
176.3205,-0.8339444
176.4755,-0.652
176.5715,-0.7576666
176.5932,-0.7440556
176.9704,-0.7215555
176.9385,-0.7447778
177.1168,-0.7637222
177.348,-0.6639444
177.7302,-0.8381389
177.9688,-0.7306666
178.166,-0.8248611
178.2775,-0.6301111
178.4355,-0.7804722
178.7346,-0.6611944
180.0602,-0.7744167
180.1792,-0.6448333
180.5392,-0.7378333
180.512,-0.7047222
180.9031,-0.6725278
181.613,-0.70975
182.016,-0.6876111
182.3989,-0.7090278
182.3636,-0.8007222
183.4971,-0.6734444
184.0023,-0.6723334
186.2095,-0.70425
186.2468,-0.73375
186.2702,-0.8184444
186.2112,-0.678
187.0052,-0.7244722
187.6127,-0.72125
188.1107,-0.6878333
188.597,-0.6440833
188.6273,-0.6856667
189.9306,-0.7556667
190.0263,-0.8237222
190.087,-0.8012778
190.6858,-0.7516944
191.5577,-0.7719167
192.0981,-0.7300556
193.4317,-0.75675
194.0235,-0.7511389
194.055,-0.7075
194.3426,-0.6305278
194.9973,-0.7716111
195.1609,-0.6606666
195.1742,-0.7876111
195.3939,-0.8158889
195.7974,-0.6456111
196.4071,-0.8197778
196.6107,-0.7664167
197.6739,-0.6695278
198.715,-0.6428889
198.8023,-0.6502222
199.542,-0.7789167
199.6728,-0.7384444
201.151,-0.7858889
201.4957,-0.7066111
202.229,-0.8361945
203.0693,-0.7285833
203.1418,-0.6586389
203.2735,-0.64875
203.704,-0.7172222
203.822,-0.7090833
203.9493,-0.6921667
204.949,-0.7594444
205.1554,-0.6326389
205.2503,-0.7156944
205.278,-0.8318889
205.5228,-0.6414167
206.4488,-0.8306667
206.7387,-0.8092778
207.3305,-0.6925555
207.4502,-0.7280555
207.5296,-0.6805556
207.8015,-0.6674167
210.4655,-0.6722222
213.0977,-0.8246945
213.2295,-0.6295278
213.3567,-0.7802222
213.7012,-0.6871945
213.6279,-0.7802778
213.8347,-0.7231666
215.1817,-0.7100278
215.6328,-0.7467222
215.8633,-0.7592222
217.0824,-0.6716667
217.8794,-0.7341667
217.9121,-0.825
218.1977,-0.6301389
218.5677,-0.7566111
218.6168,-0.7060834
218.786,-0.6415555
218.9143,-0.7334445
219.3152,-0.8025833
220.9315,-0.7267222
222.304,-0.8351111
222.9377,-0.8158611
223.0417,-0.7121111
223.1199,-0.7741666
223.172,-0.7626389
225.0875,-0.8268889
225.3597,-0.7806666
226.0576,-0.6374167
227.0825,-0.7421111
227.2861,-0.6446944
227.4597,-0.6485278
227.9531,-0.6404167
228.0281,-0.6801389
228.057,-0.6643611
229.2269,-0.7646667
229.3077,-0.6970278
229.3276,-0.6770833
229.3297,-0.7148611
229.3412,-0.7156389
229.3505,-0.7264722
229.4455,-0.7829722
229.9965,-0.6573611
230.4852,-0.6601667
230.9211,-0.7394444
231.1257,-0.72675
231.5558,-0.6484445
231.713,-0.8185
232.6477,-0.7989445
232.7211,-0.7331111
233.2633,-0.6585556
233.2588,-0.6743889
233.2648,-0.77125
233.2688,-0.7765
233.3059,-0.7769722
233.4267,-0.7904167
233.5889,-0.7286667
233.8123,-0.7473056
234.8602,-0.7980278
236.5947,-0.6448056
236.5781,-0.6715278
236.7848,-0.6423611
238.1125,-0.7309167
238.3974,-0.6669167
238.6217,-0.6922778
238.8143,-0.6496389
239.3936,-0.6919722
240.2021,-0.6891389
240.7621,-0.6961111
240.7628,-0.6867222
240.8347,-0.6504722
241.019,-0.65875
241.0272,-0.6630833
241.0148,-0.6792222
241.1332,-0.6848056
241.3215,-0.6579722
242.3322,-0.6541944
242.6096,-0.6317222
242.7745,-0.65775
242.8727,-0.6409722
243.0172,-0.65025
243.4283,-0.6540555
165.5357,-0.3134444
165.6358,-0.4113333
165.7834,-0.3033056
166.619,-0.2239167
166.8289,-0.4118333
166.9025,-0.2158333
167.2532,-0.2122778
167.2252,-0.3656111
167.3297,-0.2230833
167.489,-0.4118611
168.5025,-0.3365278
168.6959,-0.3025278
168.7862,-0.3784722
168.7937,-0.3649445
170.1234,-0.3519167
170.3309,-0.22125
170.376,-0.4033611
170.6421,-0.2116944
170.8708,-0.4105555
171.4176,-0.3292222
171.469,-0.3668611
171.6395,-0.3386111
171.661,-0.3616667
171.8132,-0.3988056
172.3364,-0.2396944
173.0134,-0.2756389
173.4697,-0.3106667
173.63,-0.3111389
173.6442,-0.2818333
174.847,-0.2945
175.2995,-0.40875
175.367,-0.29175
176.2778,-0.3664167
176.1713,-0.4188611
176.7255,-0.2846667
176.5868,-0.2366667
177.2397,-0.2773889
177.4536,-0.3645
177.5403,-0.3164445
177.9873,-0.4086389
177.9876,-0.3911667
178.4601,-0.2184444
179.0447,-0.25175
179.0801,-0.3991111
179.1862,-0.2375833
179.9835,-0.3231111
179.9984,-0.2909445
180.137,-0.2916944
180.1696,-0.3836667
180.4183,-0.2490833
180.6199,-0.2117778
180.623,-0.2124444
180.9227,-0.3637778
182.1493,-0.2925833
182.601,-0.27
182.6062,-0.2446944
182.7561,-0.3386389
182.7637,-0.3347778
182.8489,-0.3008611
183.1388,-0.2965555
183.3158,-0.2474445
183.4872,-0.2202222
183.7243,-0.3199444
183.8343,-0.3310278
184.0375,-0.2432778
183.925,-0.2990833
184.3624,-0.4096944
184.4794,-0.2849722
184.8563,-0.2540278
185.0582,-0.2401944
186.297,-0.4153611
186.4348,-0.2204167
186.5305,-0.3319722
186.547,-0.3631944
186.6625,-0.3702778
186.903,-0.3863333
186.7757,-0.3855556
186.7838,-0.3276111
187.0308,-0.2178333
187.1661,-0.3314722
188.0763,-0.3715833
189.3205,-0.3995278
189.832,-0.2327778
190.476,-0.3669167
193.3335,-0.3331389
194.6611,-0.3091667
196.6978,-0.2283889
196.8048,-0.3118611
197.6367,-0.3715278
197.6938,-0.2305833
198.0975,-0.4043333
199.582,-0.2288333
199.6833,-0.3941945
200.0455,-0.2690278
200.3184,-0.3261389
201.5342,-0.3110833
202.7263,-0.2947778
202.7737,-0.3725833
203.068,-0.4111667
204.2526,-0.22575
204.6716,-0.3552778
205.52,-0.2815556
205.6791,-0.3051389
205.881,-0.3993611
206.2533,-0.33175
206.3502,-0.3755833
206.7396,-0.2728889
207.4133,-0.3025278
207.5397,-0.3175278
207.5462,-0.2755278
207.5818,-0.2910278
207.6158,-0.3873333
207.9096,-0.3785833
209.1231,-0.2866389
209.6378,-0.3634167
212.043,-0.2594167
212.1637,-0.3083611
213.483,-0.3891945
214.5339,-0.3519444
214.8165,-0.3493889
215.0027,-0.2876667
215.1735,-0.4036667
215.2864,-0.3778889
215.8368,-0.2901111
216.0729,-0.2173889
216.0012,-0.3713889
216.1122,-0.2422222
216.3117,-0.308
216.3089,-0.3128611
216.3483,-0.2605
216.7266,-0.2244167
216.7585,-0.3671111
216.8485,-0.3090556
216.8545,-0.3286944
217.0045,-0.2195833
217.2033,-0.4057778
218.905,-0.3534722
219.0465,-0.3241111
219.2807,-0.34425
219.3789,-0.2548889
219.9408,-0.3758889
220.3619,-0.3166389
220.886,-0.2713333
220.8971,-0.3518056
221.6896,-0.3884445
221.6653,-0.3298889
221.8598,-0.4131944
223.2718,-0.21925
223.5477,-0.2700556
223.6283,-0.2615556
223.8218,-0.3985
223.8428,-0.3655
223.945,-0.2690278
224.7822,-0.4149444
225.0072,-0.3567778
225.2003,-0.2624722
225.6632,-0.2779444
225.6645,-0.3205833
227.0215,-0.3359722
227.4592,-0.3227778
227.5268,-0.3790278
228.8427,-0.26275
229.2034,-0.3494444
229.732,-0.3337778
230.5899,-0.2673056
230.5915,-0.2535
232.0798,-0.2303611
232.0989,-0.2840556
232.3325,-0.2356944
232.6161,-0.2304722
232.6174,-0.3115278
232.6203,-0.3684722
232.816,-0.3470278
233.0886,-0.21525
233.071,-0.2852778
233.2155,-0.2229722
233.3585,-0.3859722
235.333,-0.2486111
235.5395,-0.2516389
236.1707,-0.2773055
236.4156,-0.30425
236.7017,-0.2943889
237.1445,-0.277
237.3194,-0.2913611
237.7899,-0.3640278
239.0234,-0.35
239.2847,-0.2903333
239.3168,-0.2953889
239.551,-0.3278889
239.8911,-0.3973055
240.0165,-0.3813055
240.1189,-0.2304167
240.2623,-0.2723055
240.405,-0.3176111
240.7403,-0.3745
240.8877,-0.3743611
241.3777,-0.2664722
241.342,-0.2326389
241.3498,-0.3336389
241.4962,-0.2152778
241.6783,-0.2181944
241.6739,-0.3204167
241.7185,-0.2563333
242.3767,-0.3338056
242.9625,-0.2293889
243.1907,-0.2179444
243.3959,-0.2570278
243.5578,-0.2596389
243.7375,-0.3903333
244.2239,-0.3250556
244.2414,-0.3098333
244.2527,-0.3728889
244.3245,-0.2143889
244.4877,-0.3814445
244.6751,-0.3304722
245.359,-0.3886944
245.3977,-0.3742222
245.509,-0.3061111
245.758,-0.3575
245.8397,-0.4029444
246.0672,-0.3310278
246.1175,-0.3233889
247.0574,-0.2678889
248.0505,-0.3040555
248.0475,-0.3178333
248.1889,-0.3918056
248.3576,-0.3088611
248.3682,-0.2147222
249.0212,-0.3610278
249.1654,-0.3999722
249.1715,-0.3905556
249.2717,-0.3733611
249.2835,-0.23275
249.3158,-0.2553611
249.3325,-0.2228333
249.8762,-0.2986667
249.9088,-0.3528611
164.7273,-0.4138055
164.7617,0.06127778
165.0923,0.1057778
165.2916,0.1333333
165.3509,0.1486389
165.4331,0.1192778
165.7258,0.02152778
165.7614,0.1594445
165.8261,0.06858333
166.1185,0.08875
166.257,0.1769722
166.932,0.0135
166.9476,0.02572222
167.2822,0.2088056
167.5961,0.18875
167.678,0.0515
167.8342,0.1645
168.3158,0.1298611
168.533,0.01802778
169.1804,0.06238889
170.0048,0.03483333
170.767,0.1964444
171.3455,0.1209444
171.6982,0.02616667
171.8445,0.1360556
171.842,0.1393611
171.9862,0.19725
172.3371,0.1289722
172.5572,0.1077222
173.4108,0.1668611
