RA,DEC
20.38004,13.528
22.90021,13.33133
25.70117,13.15419
27.28588,13.05989
29.57096,12.67144
30.60383,12.68917
30.60371,12.69178
8.348291,14.42536
9.083834,14.33669
10.87958,14.33892
19.87829,13.99692
30.05812,13.05367
9.896209,14.90639
19.08829,14.43825
22.526,14.12397
22.86213,14.28472
24.61858,13.97744
25.95871,13.84525
27.77721,13.86983
33.60446,13.22861
11.33283,15.17122
14.10792,15.03569
20.00867,14.79231
22.09838,14.68711
22.16413,14.65206
7.725584,15.61336
21.229,15.16728
26.97304,14.59256
28.52046,14.54439
33.17704,13.92522
8.348541,16.04125
10.65388,16.03408
13.19571,15.93525
13.40125,15.93911
18.20288,15.7375
21.82338,15.51703
24.97896,15.25403
25.29804,15.29186
40.99721,-9.172334
42.27234,-9.021528
43.31696,-8.929167
43.31688,-8.928361
44.10121,-8.846306
44.10021,-8.837584
44.09408,-8.846056
44.09883,-8.821667
44.69192,-8.674444
46.69904,-8.37825
54.60762,-7.437611
54.6205,-7.385611
54.62062,-7.3865
54.62029,-7.38475
54.94912,-7.428139
56.18083,-7.362722
56.62546,-7.11875
57.19987,-7.022472
63.22742,-6.357167
36.66175,-9.041028
40.44883,-8.715361
42.80633,-8.355361
43.65842,-8.468333
43.71621,-8.438278
45.174,-8.290806
45.41492,-8.112583
48.88129,-7.667417
55.63304,-6.812695
56.06858,-6.790778
57.16083,-6.807528
59.2035,-6.507916
63.21687,-5.939694
41.37317,-8.277166
41.63787,-8.056
42.30554,-8.114388
45.02542,-7.846139
45.31708,-7.701583
51.92812,-7.077667
51.92558,-7.072111
54.61375,-6.726528
55.35529,-6.56275
57.81758,-6.291945
57.75858,-6.0925
60.28179,-5.939
62.29979,-5.454278
38.65387,-8.138556
40.03888,-7.921472
40.32188,-7.899111
40.98608,-7.906861
51.12421,-6.727695
51.55679,-6.586805
54.17608,-6.181806
62.55183,-4.984556
62.55288,-5.007778
39.7035,-7.582334
40.96821,-7.468417
40.96738,-7.468861
41.14492,-7.378194
41.13,-7.385833
41.14321,-7.379056
48.477,-6.6575
50.03771,-6.262139
51.24996,-6.139194
51.43992,-6.176028
56.28646,-5.535806
56.2755,-5.547639
56.32033,-5.452806
62.45279,-4.673222
36.62229,-7.481917
41.60375,-6.996639
44.35833,-6.534833
46.297,-6.431111
52.769,-5.631417
54.03467,-5.489583
55.27846,-5.281944
62.27979,-4.333583
155.0228,-3.055556
164.2169,-3.348278
171.6115,-3.358472
172.1987,-3.288167
173.3103,-3.47225
176.7117,-3.461555
180.4498,-3.408361
183.7941,-3.444861
186.8958,-3.340194
187.4304,-3.340667
187.7912,-3.365556
188.863,-3.542722
188.87,-3.543083
188.8673,-3.542278
192.0544,-3.333278
193.3043,-3.505056
193.2963,-3.518639
195.1463,-3.362833
195.1467,-3.363583
195.3443,-3.345361
195.8041,-3.396
196.2159,-3.327222
198.3412,-3.459889
198.3357,-3.478917
158.6928,-2.703472
158.885,-2.721778
159.2909,-2.837639
160.3078,-2.823444
172.5073,-3.033972
172.5389,-3.054694
172.9908,-2.924278
172.9909,-2.919528
180.9635,-3.07075
181.5019,-3.119555
181.4919,-3.119694
181.951,-3.124694
182.4886,-3.035722
187.9499,-2.970444
189.9328,-2.994
194.8304,-2.900639
195.0729,-3.06675
195.8285,-2.956917
155.9559,-2.279778
155.9512,-2.272167
155.9517,-2.272917
156.9868,-2.24875
158.5044,-2.363861
171.6547,-2.437305
174.5971,-2.473778
174.6042,-2.564917
175.6568,-2.478806
176.4882,-2.477778
178.0905,-2.661972
179.3016,-2.686472
183.1739,-2.526972
183.1734,-2.500139
183.1741,-2.511167
188.4407,-2.652111
188.4366,-2.650583
188.4371,-2.646167
189.4146,-2.697417
194.7513,-2.626528
194.7719,-2.547
195.7193,-2.517861
197.124,-2.6425
197.8367,-2.453083
198.0759,-2.438389
199.7242,-2.53525
157.1093,-1.934833
159.6376,-2.048389
163.4271,-2.114972
163.4276,-2.097583
171.2079,-2.149833
171.2083,-2.1465
173.2348,-2.184167
175.3981,-2.087472
177.9083,-2.069278
181.195,-2.279
183.5937,-2.161611
185.2228,-2.126222
185.3203,-2.154722
188.2667,-2.283195
188.2585,-2.285167
