RA,DEC
155.9014,-2.694806
156.6462,-2.824694
157.7119,-2.721167
157.6285,-2.81225
157.6957,-2.754667
157.6963,-2.756611
157.9577,-2.712445
160.6233,-2.889222
162.1675,-2.830694
162.2731,-2.780861
162.2675,-2.780389
162.3971,-2.838917
163.848,-2.812417
164.7158,-2.788778
174.0932,-2.942667
181.4363,-3.071167
187.1712,-3.037167
196.0994,-3.032167
155.5932,-2.302389
156.1618,-2.326528
156.3976,-2.215222
157.564,-2.337389
158.0199,-2.437944
158.4191,-2.265778
159.8995,-2.452667
160.1123,-2.434833
160.1389,-2.4515
160.213,-2.298805
161.3755,-2.363611
161.7857,-2.358861
161.802,-2.333055
162.7535,-2.381139
162.7854,-2.350333
163.8733,-2.434778
175.1619,-2.589389
199.7657,-2.5145
200.6102,-2.420167
156.5571,-1.8915
156.7867,-1.876417
157.6119,-1.839139
157.6782,-1.826667
157.6683,-1.885389
158.8056,-1.997917
160.9129,-2.054667
160.9637,-1.980083
162.4505,-1.950139
163.0784,-2.07175
163.9318,-2.054389
164.2811,-2.020028
164.8669,-1.945833
184.7814,-2.253389
187.0151,-2.281167
197.1803,-2.134944
197.1798,-2.130639
199.1479,-2.091361
155.4816,-1.43625
155.4991,-1.348528
155.5189,-1.479111
155.5281,-1.499167
155.9151,-1.415611
157.7754,-1.449361
158.0698,-1.553583
158.6187,-1.497306
158.9722,-1.438917
159.414,-1.5725
161.8771,-1.492528
162.5285,-1.672056
162.5902,-1.636222
176.4167,-1.816222
176.8464,-1.756389
188.4924,-1.718028
196.5927,-1.681167
155.1432,-1.089167
155.1418,-1.08825
155.1431,-1.091056
159.6998,-1.171694
161.7169,-1.20575
164.0243,-1.246111
171.6755,-1.291417
171.711,-1.321861
177.288,-1.362444
179.675,-1.314111
179.7998,-1.300917
179.9612,-1.381944
181.7898,-1.252583
185.0965,-1.293306
186.5825,-1.261944
179.6178,-3.59325
179.9128,-3.682806
194.5035,-3.621111
194.4964,-3.621639
194.5187,-3.620944
196.13,-3.572417
197.3859,-3.592444
171.7954,-3.205972
177.8842,-3.157389
178.5164,-3.202472
184.7188,-3.31525
170.9833,-2.705722
175.0301,-2.862028
180.2174,-2.729083
188.9807,-2.901806
192.8091,-2.688722
172.8816,-2.311194
172.8929,-2.300972
173.3945,-2.279917
173.3947,-2.281306
181.2077,-2.382389
181.212,-2.384667
181.4821,-2.31525
183.6705,-2.448778
177.21,-2.032222
177.2025,-2.056278
183.3567,-1.99925
196.5373,-1.836472
171.4507,-1.552361
180.6942,-1.593417
187.8531,-1.540389
187.871,-1.604778
191.7542,-1.578083
197.3537,-1.54475
197.8746,-1.597972
128.9128,-0.6477778
133.7285,-0.7095556
134.1595,-0.7886667
140.1562,-0.6794722
140.155,-0.67775
140.8153,-0.7280278
122.5451,-0.3924444
124.1596,-0.40325
124.5388,-0.2698056
124.7193,-0.2781389
126.0114,-0.3721389
127.0113,-0.3869722
127.026,-0.3353889
128.1952,-0.3295833
128.1994,-0.2106389
128.3188,-0.2729445
128.5625,-0.3960278
129.4717,-0.2532222
130.6178,-0.2716111
140.5335,-0.2908889
121.9459,-0.3911667
122.3688,0.01091667
122.7588,0.04205555
122.9825,0.08972222
124.6689,0.09983333
126.3235,0.19375
126.4431,0.05669444
126.7238,0.02680556
126.6579,0.1540278
126.586,0.2097778
127.0534,0.024
127.8191,0.1280556
128.6328,0.1920556
128.6343,0.1950833
128.8009,0.1853056
129.4091,0.05066667
129.5417,0.2089167
129.6325,0.01241667
130.2564,0.1341111
130.1884,0.03408333
130.5874,0.1615
140.744,0.202
143.6426,0.08980556
143.644,0.09019444
123.4068,0.5165
123.8778,0.5919722
124.0166,0.57175
124.353,0.5431666
124.5326,0.4523611
124.8338,0.4928333
124.9343,0.4500833
125.3487,0.57025
125.676,0.5481389
126.3073,0.51375
127.2289,0.6220833
128.5343,0.5640556
129.5278,0.4633889
129.5777,0.5215555
132.9817,0.4580833
147.4215,0.6186111
154.8035,-3.214306
155.39,-3.250972
157.5311,-3.26825
159.3329,-3.357805
160.3043,-3.362444
160.5373,-3.356667
162.105,-3.355083
162.5893,-3.455083
164.107,-3.409417
140.5956,-2.579389
141.1892,-2.476667
142.2843,-2.549139
142.2811,-2.546195
145.506,-2.669778
145.9828,-2.626778
146.1922,-2.62875
146.3087,-2.705667
148.7115,-2.770667
149.6295,-2.822417
149.6632,-2.747
150.8742,-2.745361
152.4863,-2.851305
153.438,-2.810833
153.5488,-2.806833
155.7477,-2.82775
156.6443,-2.829917
159.0447,-3.030833
160.2768,-2.963667
161.398,-2.953556
161.9653,-3.051139
162.1898,-2.980472
162.3216,-2.961861
163.1667,-2.976222
163.4368,-3.110861
140.0473,-2.490778
141.1013,-2.123917
141.9842,-2.104972
142.2353,-2.226583
142.6418,-2.07475
143.0814,-2.090833
145.7609,-2.252472
146.9034,-2.235278
147.4492,-2.281417
147.5777,-2.298194
147.9437,-2.380361
149.3305,-2.416194
150.034,-2.393528
150.7715,-2.400028
151.8564,-2.510917
151.9946,-2.49775
152.4998,-2.463028
152.6705,-2.432528
152.9877,-2.494639
153.0099,-2.539695
153.3211,-2.531222
154.2295,-2.494389
154.9746,-2.4855
154.9941,-2.576722
155.1626,-2.415472
155.4916,-2.446333
155.59,-2.587528
156.2457,-2.547389
156.809,-2.566917
158.0215,-2.440472
159.6097,-2.569417
160.237,-2.578805
160.2571,-2.6
160.2846,-2.488111
160.9531,-2.527889
161.036,-2.545167
161.5189,-2.571222
164.2563,-2.649167
164.4994,-2.694278
164.6194,-2.558167
140.1554,-1.666833
141.0731,-1.784806
141.3285,-1.795389
141.6383,-1.650111
142.0529,-1.764917
142.265,-1.770222
143.8772,-1.705722
143.9514,-1.814389
143.9671,-1.741722
144.3423,-1.831278
148.7274,-1.951111
148.9777,-2.020167
149.0101,-1.991694
149.415,-1.855389
149.7357,-1.971861
152.6272,-1.904528
152.6618,-2.044556
152.9454,-1.951639
153.1715,-1.997667
153.1862,-2.053111
153.473,-1.958722
153.5611,-2.108639
154.235,-1.971694
154.568,-2.127694
154.9973,-2.047139
155.8695,-2.168056
155.9203,-2.078833
156.5321,-2.003222
156.9027,-2.109417
157.6016,-2.144639
157.9916,-2.175417
158.2628,-2.085556
159.9835,-2.237167
160.5975,-2.232639
162.3994,-2.127417
162.7434,-2.150361
162.7463,-2.149639
162.7398,-2.147639
162.7431,-2.146
163.5664,-2.210278
141.198,-1.271722
142.3724,-1.352528
143.022,-1.277417
143.1783,-1.410056
150.7744,-1.631528
152.2054,-1.643972
152.945,-1.534444
153.6868,-1.639167
156.2159,-1.6815
156.352,-1.634139
157.541,-1.667833
157.861,-1.7985
158.1182,-1.7305
161.2035,-1.759222
161.5647,-1.720194
162.945,-1.841972
145.7679,-1.074722
145.8906,-1.097639
147.6592,-1.003778
147.9963,-1.006583
149.2931,-1.090944
151.0545,-1.061139
151.2917,-1.136278
151.7278,-1.233111
152.9205,-1.27
153.6206,-1.231111
153.866,-1.203889
154.0525,-1.227167
154.186,-1.157417
159.851,-1.214972
160.5863,-1.424611
161.7145,-1.391389
164.133,-1.334444
137.259,53.84642
148.0237,58.46361
121.7525,42.88245
140.9022,56.05455
132.1937,51.99864
133.4128,52.60328
137.331,54.91197
116.2366,38.06461
117.9184,39.89611
123.3054,45.55886
133.6423,53.4077
137.4406,55.38211
146.583,59.3435
141.8407,58.129
143.6375,58.85961
129.4028,52.03333
130.0386,52.45956
131.8586,53.63747
137.6192,56.74889
139.5295,57.63797
142.3485,58.78742
144.1328,59.39842
144.1305,59.397
148.8117,59.70622
161.6536,63.22422
161.6537,63.21517
161.6297,63.23753
162.4577,63.32233
150.8182,61.72131
156.6606,63.12394
255.2831,60.10492
257.7558,56.42647
258.9213,54.33936
260.1265,52.64305
256.1606,59.90633
256.7269,59.22811
255.8994,61.44106
260.21,55.0565
260.1172,54.93947
258.5332,58.82275
259.907,57.06764
260.1894,56.10886
255.1585,64.22892
256.8072,62.38342
257.6354,61.57847
259.1468,59.31814
251.7605,63.43514
