RA,DEC
172.1315,-2.948722
172.7407,-2.873917
172.9907,-2.921944
174.2795,-2.881194
175.7598,-2.895028
177.8256,-3.108583
187.0925,-3.1125
188.8498,-2.962
190.3454,-3.057833
155.1119,-2.314
155.3397,-2.302695
155.3457,-2.256194
155.3482,-2.356417
156.7996,-2.401917
156.8094,-2.379889
158.006,-2.298417
158.2397,-2.431472
158.2998,-2.39275
159.6358,-2.329778
161.741,-2.475445
163.9044,-2.5305
163.9828,-2.4665
164.0294,-2.506611
164.189,-2.410944
164.1331,-2.475861
164.5035,-2.52275
179.408,-2.548833
184.4098,-2.587083
200.2996,-2.600111
155.1955,-1.941056
157.0763,-1.876028
157.5691,-1.88
160.6706,-1.956167
160.9277,-1.901056
162.3807,-1.92925
164.3082,-1.977667
175.751,-2.106028
179.8808,-2.169417
183.2406,-2.238806
191.8421,-2.2555
155.5874,-1.357806
155.5867,-1.437639
155.6186,-1.360972
155.6492,-1.431861
156.0262,-1.535222
156.2924,-1.559611
158.3768,-1.50925
158.4836,-1.4515
159.0089,-1.431972
159.1387,-1.47975
159.408,-1.61275
161.1207,-1.615583
161.8698,-1.606972
162.4689,-1.575389
162.5195,-1.674972
163.9988,-1.66775
178.3097,-1.714222
185.3342,-1.767556
192.4428,-1.671417
192.6817,-1.67725
159.8402,-1.139944
163.5105,-1.172528
176.0847,-1.272444
179.3826,-1.252944
179.3873,-1.320944
179.5415,-1.424111
180.1549,-1.357083
185.9364,-1.305611
188.2252,-1.342861
197.9326,-1.250056
198.4653,-1.252833
198.8334,-1.224361
172.7023,-3.524389
173.5855,-3.590417
173.861,-3.6165
175.0302,-3.564972
175.0621,-3.522917
176.0443,-3.668083
177.0399,-3.562583
177.3033,-3.659611
177.4038,-3.567417
181.9113,-3.731583
184.0706,-3.736722
185.9252,-3.744806
186.0044,-3.722861
191.8712,-3.542889
195.6119,-3.657417
197.1002,-3.577889
198.2106,-3.485472
173.6113,-3.278389
176.948,-3.245806
182.6598,-3.229694
187.4646,-3.15075
189.1603,-3.160194
190.3705,-3.253722
190.9957,-3.301583
194.9587,-3.18525
195.4202,-3.19925
195.5598,-3.273
196.1965,-3.129333
199.1573,-3.100945
170.8353,-3.130778
172.838,-2.693222
176.4498,-2.741667
178.6898,-2.74125
183.3502,-2.821083
186.3951,-2.83525
188.4146,-2.75925
194.3094,-2.748694
194.494,-2.793195
196.1939,-2.871111
196.4818,-2.833639
197.3403,-2.750972
171.3694,-2.232
171.5226,-2.263944
178.0659,-2.357417
178.6043,-2.319556
179.2213,-2.340556
182.9457,-2.480611
187.951,-2.448056
188.8765,-2.326972
195.6765,-2.303806
197.5208,-2.303861
172.3057,-1.927222
195.2653,-1.953389
195.393,-1.972972
198.0798,-1.853972
180.5917,-1.453361
180.5913,-1.453944
184.6038,-1.517444
188.995,-1.571611
189.3483,-1.447222
129.3549,-0.6793333
140.653,-0.7898333
123.3372,-0.3362778
123.5357,-0.3708611
124.2034,-0.3009722
124.3818,-0.3986389
124.7134,-0.2245833
125.1947,-0.3981667
