,RA,DEC
13738,256.506,75.503
13739,256.512,75.491
13740,256.254,75.415
13741,256.519,75.381
13742,257.016,75.395
13743,256.532,75.327
13744,256.693,75.233
13745,256.548,75.194
13746,256.906,75.159
13747,256.896,75.094
13748,257.173,74.913
13749,257.428,74.911
13750,257.536,74.729
13751,257.759,74.855
13752,257.648,74.717
13753,257.739,74.623
13754,257.69,74.461
13755,257.587,74.45
13756,257.676,74.429
13757,258.85,73.965
13758,259.022,73.436
13759,259.014,73.436
13760,259.276,73.439
13761,259.243,73.168
13762,259.395,73.24
13763,258.971,73.163
13764,259.568,73.177
13765,259.577,72.982
13766,260.376,72.457
13767,260.03,72.526
13768,259.859,72.465
13769,259.849,72.284
13770,260.071,72.255
13771,260.065,72.255
13772,259.946,72.208
13773,260.406,72.243
13774,260.198,72.073
13775,260.455,71.925
13776,260.595,71.545
13777,260.943,71.504
13778,260.969,71.269
13779,260.841,71.236
13780,260.969,71.225
13781,261.031,71.193
13782,261.34,71.181
13783,261.234,71.161
13784,261.139,71.129
13785,261.011,71.045
13786,261.349,70.786
13787,261.697,70.742
13788,261.567,70.708
13789,261.324,70.677
13790,261.412,70.593
13791,261.533,70.463
13792,261.824,70.225
13793,262.079,70.115
13794,262.368,69.875
13795,262.402,69.848
13796,262.338,69.766
13797,262.38,69.527
13798,262.622,69.506
13799,262.425,69.422
13800,262.945,68.833
13801,263.167,68.705
13802,263.244,68.494
13803,263.26,68.28
13804,263.309,68.081
13805,263.576,68.019
13806,263.608,68.02
13807,263.24,67.899
13808,263.395,67.824
13809,263.504,67.777
13810,263.453,67.544
13811,263.89,67.57
13812,263.873,67.552
13813,263.774,67.545
13814,263.736,67.475
13815,263.931,67.438
13816,263.661,67.035
13817,263.637,67.041
13818,263.57,67.162
13819,264.081,67.176
13820,263.939,66.949
13821,263.811,67.027
13822,264.212,66.179
13823,264.505,66.188
13824,264.555,66.105
13825,264.761,65.85
13826,264.786,65.829
13827,264.8,65.818
13828,264.668,65.698
13829,264.702,65.419
13830,264.674,65.186
13831,264.624,65.266
13832,265.004,65.167
13833,265.101,65.093
13834,264.852,64.924
13835,265.085,64.673
13836,265.029,64.542
13837,265.078,64.531
13838,265.359,64.516
13839,265.174,64.464
13840,265.153,64.414
13841,265.526,63.683
13842,265.69,63.827
13843,265.482,63.757
13844,265.478,63.757
13845,265.43,63.592
13846,265.616,63.647
13847,265.675,63.63
13848,265.595,63.381
13849,265.804,63.167
13850,265.707,63.085
13851,265.653,62.995
13852,265.822,62.839
13853,266.08,62.882
13854,265.771,62.684
13855,266.148,62.614
13856,266.07,62.594
13857,266.172,62.591
13858,266.159,62.578
13859,266.091,62.501
13860,266.079,62.452
13861,265.94,62.365
13862,266.143,62.291
13863,265.961,62.267
13864,265.95,62.248
13865,266.204,61.911
13866,266.485,61.658
13867,266.21,61.495
13868,266.44,61.61
13869,266.576,61.481
13870,266.6,61.402
13871,266.592,61.272
13872,266.303,61.226
13873,266.574,61.082
13874,266.448,60.897
13875,266.452,60.897
13876,266.634,60.668
13877,266.694,60.564
13878,266.56,60.562
13879,266.664,60.309
13880,267.03,60.287
13881,266.98,59.994
13882,266.708,60.016
13883,266.999,60.027
13884,266.878,59.914
13885,266.966,59.786
13886,266.805,59.735
13887,266.975,59.836
13888,266.839,59.813
13889,267.097,59.805
13890,267.093,59.784
13891,266.969,59.542
13892,267.203,59.499
13893,266.981,59.377
13894,267.198,59.346
13895,266.975,59.343
13896,267.221,58.969
13897,267.355,58.864
13898,267.558,58.549
13899,267.404,58.364
13900,267.77,57.639
13901,267.756,57.637
13902,267.809,57.628
13903,267.686,57.51
13904,267.596,57.459
13905,267.645,57.289
13906,267.812,57.204
13907,267.934,57.214
13908,267.938,57.132
13909,267.984,57.063
13910,267.813,56.946
13911,267.862,56.889
13912,267.928,56.762
13913,267.726,56.809
13914,267.878,56.774
13915,267.788,56.688
13916,267.823,56.688
13917,268.011,56.663
13918,268.046,56.275
13919,268.21,56.213
13920,268.207,56.174
13921,268.128,56.061
13922,268.104,55.912
13923,268.162,55.874
13924,268.049,55.713
13925,268.408,55.43
13926,268.238,55.428
13927,268.242,55.259
13928,268.183,55.236
13929,268.183,55.204
13930,268.301,55.143
13931,268.466,55.144
13932,268.439,55.123
13933,268.359,54.582
13934,268.37,54.486
13935,268.53,54.328
13936,268.789,53.971
13937,268.468,53.964
13938,268.476,53.889
13939,268.594,53.635
13940,268.852,53.618
13941,268.705,53.496
13942,268.669,53.452
13943,268.853,53.316
13944,268.749,53.087
13945,269.012,52.851
13946,269.037,52.782
13947,268.937,52.648
13948,268.968,52.566
13949,269.069,52.497
13950,269.106,52.588
13951,269.13,52.382
13952,268.968,51.955
13953,269.239,51.871
13954,269.068,51.83
13955,269.078,51.723
13956,269.193,51.731
13957,269.35,51.289
13958,269.19,51.225
13959,269.159,51.205
13960,269.235,51.161
13961,269.255,51.146
13962,269.392,51.121
13963,269.324,51.088
13964,269.416,51.098
13965,269.377,50.946
13966,269.207,50.899
13967,269.435,50.855
13968,269.317,50.753
13969,269.543,50.566
13970,269.329,50.568
13971,269.555,50.382
13972,269.521,50.446
13973,269.594,50.049
13974,269.419,50.034
13975,269.523,49.727
13976,269.721,49.5
13977,269.696,49.124
13978,269.853,48.843
13979,269.859,48.721
13980,269.942,48.58
13981,269.8,48.509
13982,269.927,48.468
13983,269.836,48.081
13984,269.939,48.05
13985,270.062,47.962
13986,269.967,47.756
13987,269.832,47.638
13988,270.075,47.517
13989,269.988,47.122
13990,269.981,46.991
13991,270.134,46.784
13992,270.099,46.604
13993,256.275,76.716
13994,256.647,76.56
13995,256.98,76.473
13996,256.671,76.447
13997,257.137,76.442
13998,258.065,76.034
13999,257.853,75.799
14000,258.364,75.723
14001,258.247,75.681
14002,258.287,75.5
14003,257.995,75.436
14004,258.31,75.336
14005,258.586,75.161
14006,258.92,75.171
14007,258.391,75.117
14008,259.02,75.133
14009,258.785,75.084
14010,258.688,74.96
14011,258.702,74.914
14012,259.246,74.946
14013,259.52,74.822
14014,259.5,74.397
14015,260.071,73.895
14016,259.911,73.827
14017,260.42,73.584
14018,260.185,73.534
14019,260.79,73.432
14020,260.419,73.324
14021,260.59,73.34
14022,260.901,73.316
14023,260.782,73.208
14024,260.593,73.169
14025,261.276,73.024
14026,261.091,73.11
14027,261.18,73.073
14028,261.304,72.899
14029,261.278,72.9
14030,261.242,72.715
14031,261.403,72.703
14032,260.984,72.665
14033,261.06,72.582
14034,261.167,72.575
14035,261.246,72.504
14036,261.681,72.279
14037,261.677,72.212
14038,261.997,71.967
14039,261.972,72.038
14040,261.859,72.03
14041,261.802,72.0
14042,261.901,71.857
14043,262.311,71.659
14044,261.901,71.532
14045,262.042,71.644
14046,261.964,71.556
14047,262.096,71.547
14048,262.18,71.508
14049,261.999,71.47
14050,262.483,71.506
14051,262.397,71.385
14052,262.23,71.269
14053,262.578,71.387
14054,262.595,71.331
14055,262.58,71.331
14056,262.204,71.208
14057,262.304,71.041
14058,262.8,70.966
14059,262.459,70.786
14060,262.924,70.932
14061,262.8,70.891
14062,262.522,70.835
14063,262.53,70.703
14064,263.072,70.422
14065,263.319,70.357
14066,263.317,70.33
14067,263.332,70.282
14068,263.142,70.256
14069,263.056,70.194
14070,263.473,70.18
14071,263.04,70.059
14072,263.017,69.996
14073,263.649,69.936
14074,263.3,69.601
14075,263.625,69.559
14076,263.988,69.205
14077,263.955,68.544
14078,264.211,68.013
14079,264.594,68.037
14080,264.202,68.067
14081,264.726,68.098
14082,264.348,68.01
14083,264.569,68.167
14084,264.789,67.949
14085,264.591,67.927
14086,264.568,67.896
14087,264.819,67.594
14088,265.032,67.351
14089,264.936,67.179
14090,264.789,67.139
14091,265.291,66.679
14092,265.075,66.529
14093,265.459,66.518
14094,265.251,66.267
14095,265.64,66.245
14096,265.638,66.141
14097,265.207,66.208
14098,265.665,65.959
14099,265.637,65.79
14100,265.676,65.658
14101,265.913,65.661
14102,265.995,65.433
14103,265.775,65.331
14104,266.019,65.346
14105,265.863,65.072
14106,265.717,65.199
14107,265.748,65.13
14108,265.842,65.063
14109,266.032,65.06
14110,266.094,64.817
14111,266.199,64.94
14112,265.783,64.865
14113,266.298,64.737
14114,266.241,64.703
14115,266.055,64.31
14116,266.485,64.118
14117,266.22,64.012
14118,266.58,64.013
14119,266.371,63.955
14120,266.229,63.921
14121,266.342,63.88
14122,266.6,63.866
14123,266.442,63.679
14124,266.582,63.538
14125,266.533,63.354
14126,266.512,63.36
14127,266.512,63.303
14128,266.652,63.28
14129,266.64,63.249
14130,266.609,63.0
14131,266.638,63.123
14132,266.826,63.047
14133,266.815,63.032
14134,267.135,62.43
14135,266.871,62.406
14136,266.89,62.333
14137,266.825,62.317
14138,267.059,62.332
14139,266.84,62.271
14140,267.128,62.254
14141,267.066,62.099
14142,267.27,62.112
14143,267.1,62.081
14144,266.984,62.091
14145,267.017,61.932
14146,267.302,61.85
14147,267.288,61.674
14148,267.447,61.605
14149,267.273,61.578
14150,267.491,61.527
14151,267.153,61.428
14152,267.141,61.349
14153,267.136,61.349
14154,267.449,60.972
14155,267.491,60.911
14156,267.684,60.711
14157,267.614,60.595
14158,267.672,60.546
14159,267.574,60.438
14160,267.709,60.42
14161,267.807,60.18
14162,267.923,60.166
14163,267.543,60.138
14164,267.623,60.028
14165,267.708,59.95
14166,268.0,59.892
14167,267.885,59.872
14168,267.902,59.845
14169,267.951,59.641
14170,267.96,59.759
14171,268.036,59.726
14172,267.972,59.659
14173,267.733,59.597
14174,267.825,59.471
14175,268.076,59.624
14176,268.033,59.596
14177,267.777,59.488
14178,268.04,59.314
14179,268.031,59.094
14180,267.893,58.937
14181,268.061,58.915
14182,268.002,58.825
14183,267.957,58.747
14184,268.151,58.601
14185,268.16,58.357
14186,268.403,58.35
14187,268.442,58.002
14188,268.214,58.105
14189,268.389,58.093
14190,268.435,57.984
14191,268.451,57.909
14192,268.258,57.861
14193,268.499,57.764
14194,268.478,57.759
14195,268.603,57.59
14196,268.58,57.331
14197,268.382,57.173
14198,268.402,57.159
14199,268.401,57.159
14200,268.766,57.078
14201,268.611,57.053
14202,268.492,56.833
14203,268.668,56.526
14204,268.725,56.514
14205,268.669,56.397
14206,268.837,56.497
14207,268.628,56.473
14208,268.741,56.467
14209,268.884,56.448
14210,268.783,56.239
14211,268.934,56.291
14212,268.649,56.164
14213,268.731,56.075
14214,268.755,56.076
14215,268.804,56.034
14216,268.871,55.905
14217,269.035,55.608
14218,269.214,55.351
14219,268.914,55.241
14220,269.035,54.927
14221,269.063,54.878
14222,268.967,54.848
14223,269.262,54.789
14224,269.283,54.761
14225,269.071,54.673
14226,269.193,54.589
14227,269.362,54.564
14228,269.39,54.55
14229,269.326,54.386
14230,269.299,54.367
14231,269.169,54.311
14232,269.301,54.281
14233,269.4,54.152
14234,269.187,54.067
14235,269.289,53.957
14236,269.342,53.957
14237,269.399,53.938
14238,269.292,53.919
14239,269.231,53.832
14240,269.493,53.849
14241,269.411,53.813
14242,269.557,53.635
14243,269.385,53.616
14244,269.624,53.32
14245,269.378,53.253
14246,269.496,53.244
14247,269.685,52.93
14248,269.898,52.157
14249,269.937,51.945
14250,269.96,51.599
14251,270.086,51.173
14252,269.805,51.109
14253,270.094,51.069
14254,269.971,50.893
14255,270.123,50.74
14256,269.986,50.597
14257,270.198,50.696
14258,270.0,50.503
14259,269.969,50.491
14260,270.154,50.459
14261,270.194,50.33
14262,270.084,50.271
14263,270.126,50.264
14264,270.017,50.206
14265,270.198,49.814
14266,270.113,49.789
14267,270.205,49.585
14268,270.209,49.598
14269,270.415,49.337
14270,270.27,49.13
14271,270.177,49.111
14272,270.402,48.983
14273,270.507,48.936
14274,270.218,48.866
14275,270.292,48.546
14276,270.414,48.627
14277,270.561,48.638
14278,270.484,48.619
14279,270.46,48.186
14280,270.659,47.913
14281,270.596,47.753
14282,270.642,47.745
14283,270.457,47.64
14284,270.624,47.427
14285,270.617,47.063
14286,270.608,46.902
14287,270.685,46.965
14288,270.732,46.853
14289,270.731,46.675
14290,258.314,76.584
14291,258.638,76.401
14292,259.043,76.2
14293,259.335,75.9
14294,259.362,75.757
14295,259.583,75.677
14296,260.506,75.323
14297,261.271,74.403
14298,261.204,74.376
14299,261.034,74.286
14300,261.229,74.254
14301,261.327,74.085
14302,262.13,73.525
14303,261.995,73.549
14304,261.882,73.514
14305,262.086,73.456
14306,262.043,73.346
14307,262.235,73.316
14308,262.29,73.215
14309,262.327,72.996
14310,262.501,72.646
14311,262.994,72.379
14312,262.702,72.308
14313,263.199,72.154
14314,263.184,72.154
14315,262.772,72.171
14316,262.799,72.123
14317,263.087,71.876
14318,263.238,71.892
14319,263.603,71.465
14320,263.371,71.411
14321,263.649,71.42
14322,263.425,71.402
14323,263.437,71.357
14324,263.606,71.124
14325,263.78,71.054
14326,263.851,71.047
14327,263.978,70.916
14328,264.072,70.635
14329,264.359,70.321
14330,264.154,70.19
14331,264.399,70.124
14332,264.502,69.974
14333,264.525,69.795
14334,264.908,69.15
14335,264.842,69.127
14336,265.356,68.619
14337,265.188,68.418
14338,265.165,68.437
14339,265.3,68.238
14340,265.35,68.099
14341,265.43,67.962
14342,265.495,68.018
14343,265.567,68.008
14344,265.716,67.809
14345,265.403,67.917
14346,265.766,67.687
14347,265.788,67.542
14348,265.72,67.627
14349,265.663,67.568
14350,265.746,67.305
14351,265.831,67.094
14352,266.058,67.107
14353,266.102,67.011
14354,266.096,66.961
14355,266.031,66.945
14356,266.041,66.928
14357,266.014,66.928
14358,266.057,66.713
14359,266.242,66.666
14360,266.248,66.648
14361,266.267,66.543
14362,266.173,66.504
14363,266.257,66.59
14364,266.276,66.553
14365,266.259,66.521
14366,266.228,66.32
14367,266.276,66.411
14368,266.295,66.122
14369,266.353,66.096
14370,266.464,65.873
14371,266.421,65.836
14372,266.57,65.453
14373,266.675,65.329
14374,266.664,65.265
14375,266.827,64.885
14376,266.863,64.703
14377,266.965,64.698
14378,267.042,64.315
14379,267.165,64.264
14380,267.063,64.151
14381,267.329,63.759
14382,267.495,63.156
14383,267.638,62.634
14384,267.746,62.415
14385,267.951,61.813
14386,267.92,61.797
14387,267.996,61.548
14388,268.101,61.077
14389,268.341,60.348
14390,268.42,60.017
14391,269.022,57.79
14392,310.144,-1.211
14393,310.931,-1.239
14394,311.623,-1.063
14395,313.123,-1.073
14396,313.711,-1.142
14397,316.766,-1.245
14398,321.071,-1.231
14399,323.821,-1.057
14400,312.829,-0.708
14401,313.464,-0.722
14402,315.33,-0.676
14403,316.226,-0.833
14404,319.132,-0.837
14405,319.15,-0.77
14406,319.603,-0.785
14407,320.339,-0.83
14408,322.101,-0.734
14409,322.714,-0.727
14410,324.618,-0.688
14411,324.767,-0.827
14412,325.043,-0.805
14413,326.202,-0.653
14414,309.702,-0.226
14415,311.865,-0.31
14416,312.717,-0.326
14417,312.719,-0.323
14418,315.225,-0.291
14419,315.368,-0.276
14420,315.372,-0.285
14421,315.374,-0.277
14422,315.502,-0.269
14423,316.746,-0.395
14424,317.956,-0.257
14425,317.995,-0.219
14426,317.996,-0.22
14427,318.26,-0.274
14428,322.306,-0.295
14429,322.404,-0.213
14430,322.896,-0.38
14431,325.537,-0.287
14432,311.357,0.132
14433,311.634,0.207
14434,312.023,0.117
14435,312.765,0.14
14436,313.095,0.073
14437,313.637,0.044
14438,318.649,0.014
14439,320.614,0.0
14440,322.115,0.195
14441,322.4,0.025
14442,323.952,0.097
14443,325.7,0.033
14444,326.593,0.081
14445,309.34,0.066
14446,309.556,0.595
14447,309.558,0.593
14448,309.793,0.48
14449,310.262,0.533
14450,310.478,0.587
14451,312.06,0.556
14452,314.533,0.452
14453,315.24,0.569
14454,316.678,0.61
14455,316.757,0.442
14456,318.024,0.475
14457,318.168,0.534
14458,318.471,0.526
14459,323.977,0.442
14460,325.848,0.627
14461,325.946,0.428
14462,326.053,0.602
14463,309.983,0.976
14464,310.315,0.847
14465,310.365,0.859
14466,311.171,0.929
14467,311.172,0.929
14468,312.783,0.976
14469,314.679,0.96
14470,315.574,1.014
14471,315.783,0.974
14472,316.443,0.936
14473,317.313,0.985
14474,319.152,0.897
14475,319.254,1.001
14476,319.738,0.93
14477,320.159,1.047
14478,320.585,0.988
14479,321.102,0.879
14480,321.941,1.002
14481,322.716,0.839
14482,324.428,0.877
14483,325.372,0.893
14484,326.478,1.037
14485,310.435,-0.871
14486,311.769,-0.993
14487,312.201,-0.998
14488,313.255,-1.034
14489,316.598,-0.84
14490,316.579,-0.96
14491,316.714,-0.905
14492,316.974,-0.949
14493,318.199,-1.042
14494,318.189,-0.876
14495,319.348,-0.948
14496,313.302,-0.486
14497,313.509,-0.542
14499,313.901,-0.629
14500,317.707,-0.507
14501,318.553,-0.554
14502,312.006,-0.177
14503,313.563,-0.107
14504,313.827,-0.147
14505,314.058,-0.012
14506,314.211,-0.117
14507,315.265,-0.076
14508,315.265,-0.077
14509,319.833,-0.092
14510,320.002,-0.088
14511,310.916,0.303
14512,312.099,0.383
14513,312.306,0.325
14514,312.696,0.39
14515,313.864,0.347
14516,316.93,0.343
14517,317.809,0.338
14518,317.766,0.392
14519,317.852,0.354
14520,319.023,0.231
14521,319.127,0.305
14522,311.456,0.675
14523,311.607,0.637
14524,312.502,0.706
14525,313.348,0.654
14526,313.518,0.662
14527,314.171,0.674
14528,314.359,0.759
14529,315.019,0.637
14530,319.433,0.761
14531,319.405,0.82
14532,320.225,0.724
14533,309.569,1.253
14534,309.941,1.07
14535,310.092,1.143
14536,311.599,1.171
14537,311.783,1.114
14538,312.118,1.076
14539,314.733,1.116
14540,315.208,1.19
14541,315.825,1.067
14542,317.581,1.079
14543,317.802,1.238
14544,319.647,1.239
14545,320.153,1.053
14546,320.158,1.052
14547,320.142,1.165
14548,324.538,-0.992
14549,324.842,-0.985
14550,325.226,-0.971
14551,325.43,-0.959
14552,325.32,-0.917
14553,325.459,-0.953
14554,327.329,-1.002
14555,327.342,-1.005
14556,335.968,-0.872
14557,335.969,-0.86
14558,336.322,-0.909
14559,337.081,-0.888
14560,337.351,-1.005
14561,337.912,-1.034
14562,337.986,-0.957
14563,338.032,-0.901
14564,338.345,-1.042
14565,339.151,-0.913
14566,339.347,-1.025
14567,339.599,-1.039
14568,339.816,-1.039
14569,339.875,-1.036
14570,339.952,-0.913
14571,340.338,-1.04
14572,340.259,-1.046
14573,340.683,-1.048
14574,341.083,-0.937
14575,342.366,-0.891
14576,342.514,-0.993
14577,343.194,-1.038
14578,343.501,-0.879
14579,344.188,-1.04
14580,344.216,-0.992
14581,345.827,-0.857
14582,347.894,-1.012
14583,349.012,-1.002
14584,349.399,-0.87
14585,349.628,-1.031
14586,349.735,-0.99
14587,350.406,-0.901
14588,350.44,-0.906
14589,350.753,-0.892
14590,352.43,-0.869
14591,352.539,-0.976
14592,352.931,-0.907
14593,353.173,-0.931
14594,353.654,-1.001
14595,353.604,-0.884
14596,357.009,-0.944
14597,357.252,-0.988
14598,358.517,-0.98
14599,358.673,-1.032
14600,358.743,-1.045
14601,359.334,-0.847
14602,359.534,-0.997
14603,0.293,-0.981
14604,0.74,-0.946
14605,1.03,-0.864
14606,2.095,-0.94
14607,2.364,-0.912
14608,2.392,-0.924
14609,4.114,-1.032
14610,4.358,-0.978
14611,4.752,-0.903
14612,5.287,-1.036
14613,5.306,-0.98
14614,5.298,-0.972
14615,5.491,-0.951
14616,5.5,-0.984
14617,5.845,-0.985
14618,5.859,-0.984
14619,5.988,-0.884
14620,5.99,-0.843
14621,6.04,-1.009
14622,6.028,-1.011
14623,6.26,-1.041
14624,6.396,-0.97
14625,6.508,-0.996
14626,6.968,-1.01
14627,7.086,-0.859
14628,7.089,-0.861
14629,7.226,-0.939
14630,8.347,-0.991
14631,9.976,-0.901
14632,10.724,-0.933
14633,11.505,-0.918
14634,11.657,-1.048
14635,12.53,-0.893
14636,12.963,-0.973
14637,13.439,-0.93
14638,14.055,-0.859
14639,14.115,-1.024
14640,14.196,-0.878
14641,14.36,-0.966
14642,14.356,-0.922
14643,321.663,-0.616
14644,324.809,-0.508
14645,326.948,-0.556
14646,327.452,-0.518
14647,328.298,-0.576
14648,329.998,-0.446
14649,330.206,-0.575
14650,330.424,-0.62
14651,331.305,-0.617
14652,331.362,-0.535
14653,331.8,-0.59
14654,333.545,-0.468
14655,334.198,-0.601
14656,334.637,-0.47
14657,336.078,-0.514
14658,337.053,-0.627
14659,337.165,-0.507
14660,337.421,-0.6
14661,339.26,-0.627
14662,340.309,-0.621
14663,340.31,-0.618
14664,340.403,-0.626
14665,340.487,-0.621
14666,340.704,-0.621
14667,341.677,-0.44
14668,342.322,-0.626
14669,343.152,-0.555
14670,343.226,-0.629
14671,343.967,-0.623
14672,344.115,-0.545
14673,344.354,-0.545
14674,344.357,-0.555
14675,344.736,-0.564
14676,344.854,-0.5
14677,346.298,-0.625
14678,347.456,-0.619
14679,347.661,-0.505
14680,347.909,-0.44
14681,348.96,-0.482
14682,349.535,-0.518
14683,350.851,-0.485
14684,352.52,-0.561
14685,353.35,-0.449
14686,354.103,-0.605
14687,354.259,-0.506
14688,354.43,-0.518
14689,354.572,-0.483
14690,354.807,-0.453
14691,355.599,-0.615
14692,356.377,-0.525
14693,357.615,-0.615
14694,358.55,-0.535
14695,358.714,-0.431
14696,359.058,-0.536
14697,359.422,-0.6
14698,1.322,-0.601
14699,1.771,-0.512
14700,1.914,-0.562
14701,2.291,-0.618
14702,2.526,-0.438
14703,2.422,-0.531
14704,2.917,-0.474
14705,2.915,-0.477
14706,3.32,-0.523
14707,3.461,-0.424
14708,3.717,-0.54
14709,3.766,-0.624
14710,3.839,-0.572
14711,4.159,-0.476
14712,4.188,-0.512
14713,4.21,-0.44
14714,4.552,-0.613
14715,4.742,-0.563
14716,5.144,-0.471
14717,6.503,-0.54
14718,6.491,-0.516
14719,7.104,-0.443
14720,7.425,-0.471
14721,7.457,-0.463
14722,7.484,-0.456
14723,8.08,-0.6
14724,8.999,-0.584
14725,9.603,-0.615
14726,10.555,-0.43
14727,10.851,-0.499
14728,12.847,-0.52
14729,12.889,-0.545
14730,13.014,-0.574
14731,13.73,-0.428
14732,14.159,-0.509
14733,14.342,-0.429
14734,322.092,-0.097
14735,322.628,-0.14
14736,323.247,-0.18
14737,324.282,-0.148
14738,324.846,-0.044
14739,327.648,-0.072
14740,329.08,-0.016
14741,329.302,-0.03
14742,329.596,-0.008
14743,330.16,-0.15
14744,331.475,-0.131
14745,333.011,-0.139
14746,335.793,-0.065
14747,336.49,-0.127
14748,337.699,-0.004
14749,337.775,-0.195
14750,339.446,-0.164
14751,340.27,-0.073
14752,341.768,-0.073
14753,341.892,-0.042
14754,342.49,-0.083
14755,342.81,-0.056
14756,343.174,-0.067
14757,344.546,-0.007
14758,345.227,-0.201
14759,345.565,-0.208
14760,346.425,-0.174
14761,346.796,-0.209
14762,347.365,-0.006
14763,347.939,-0.084
14764,348.34,-0.084
14765,348.714,-0.06
14766,349.01,-0.129
14767,349.018,-0.123
14768,349.343,-0.179
14770,349.336,-0.196
14771,350.04,-0.133
14772,350.832,-0.174
14773,351.096,-0.108
14774,351.1,-0.105
14775,351.066,-0.196
14776,352.759,-0.132
14777,353.223,-0.207
14778,353.226,-0.105
14779,353.964,-0.019
14780,354.143,-0.038
14781,354.194,-0.193
14782,354.207,-0.207
14783,354.959,-0.199
14784,355.3,-0.091
14785,355.425,-0.127
14786,355.836,-0.045
14787,355.984,-0.062
14788,356.113,-0.137
14789,358.129,-0.081
14790,358.303,-0.01
14791,0.731,-0.159
14792,0.807,-0.044
14793,1.503,-0.138
14794,1.651,-0.123
14795,1.815,-0.021
14796,2.081,-0.18
14797,2.299,-0.193
14798,2.339,-0.141
14799,3.366,-0.128
14800,3.558,-0.028
14801,3.657,-0.006
14802,3.701,-0.048
14803,4.186,-0.1
14804,4.822,-0.054
14805,5.015,-0.193
14806,5.107,-0.057
14807,5.109,-0.056
14808,5.106,-0.057
14809,5.483,-0.098
14810,5.532,-0.102
14811,5.55,-0.022
14812,5.79,-0.067
14813,6.994,-0.107
14814,7.293,-0.164
14815,7.396,-0.191
14816,7.396,-0.186
14817,7.678,-0.125
14818,7.702,-0.012
14819,7.894,-0.091
14820,9.295,-0.067
14821,9.491,-0.032
14822,9.611,-0.012
14823,9.609,-0.017
14824,9.71,-0.094
14825,9.715,-0.165
14826,10.593,-0.193
14827,10.791,-0.029
14828,10.866,-0.125
14829,10.926,-0.161
14830,11.344,-0.213
14831,11.907,-0.121
14832,12.197,-0.119
14833,12.476,-0.149
14834,13.396,-0.021
14835,13.518,-0.144
14836,13.889,-0.164
14837,13.993,-0.133
14838,14.02,-0.075
14839,322.375,0.376
14840,322.449,0.396
14841,322.529,0.404
14842,322.877,0.297
14843,323.713,0.386
14844,323.714,0.387
14845,323.968,0.405
14846,324.365,0.389
14847,324.399,0.353
14848,324.505,0.312
14849,324.675,0.228
14850,326.247,0.29
14851,327.361,0.375
14852,328.699,0.229
14853,329.371,0.383
14854,332.765,0.336
14855,333.555,0.371
14856,336.038,0.336
14857,336.07,0.327
14858,336.688,0.417
14859,337.178,0.294
14860,337.765,0.283
14861,338.349,0.319
14862,340.391,0.401
14863,340.77,0.357
14864,340.814,0.409
14865,340.825,0.215
14866,340.979,0.21
14867,341.474,0.386
14868,341.479,0.386
14869,342.187,0.251
14870,343.248,0.301
14871,343.886,0.272
14872,344.462,0.217
14873,344.443,0.334
14874,344.525,0.225
14875,345.633,0.216
14876,346.689,0.219
14877,347.701,0.402
14878,348.639,0.238
14879,348.926,0.221
14880,349.528,0.219
14881,349.529,0.221
14882,349.876,0.371
14883,350.088,0.22
14884,350.339,0.357
14885,350.639,0.304
14886,350.826,0.279
14887,351.055,0.337
14888,354.131,0.297
14889,354.128,0.295
14890,354.303,0.278
14891,354.35,0.392
14892,357.335,0.371
14893,357.946,0.382
14894,358.534,0.242
14895,358.544,0.394
14896,358.806,0.335
14897,358.693,0.322
14898,358.836,0.327
14899,359.132,0.288
14900,359.217,0.351
14901,359.245,0.332
14902,359.595,0.268
14903,1.378,0.293
14904,1.795,0.288
14905,1.886,0.388
14906,3.021,0.306
14907,3.153,0.262
14908,3.253,0.272
14909,4.209,0.273
14910,4.459,0.268
14911,4.543,0.247
14912,4.543,0.246
14913,4.888,0.401
14914,5.118,0.246
14915,5.121,0.301
14916,5.201,0.241
14917,5.649,0.235
14918,6.906,0.393
14919,7.288,0.315
14920,7.746,0.243
14921,8.144,0.341
14922,8.867,0.345
14923,9.196,0.243
14924,11.584,0.358
14925,12.968,0.329
14926,13.127,0.378
14927,13.677,0.396
14928,13.681,0.411
14929,14.017,0.261
14930,14.222,0.331
14931,14.57,0.367
14932,14.611,0.352
14933,14.74,0.396
14934,324.99,0.825
14935,330.589,0.743
14936,331.158,0.753
14937,331.158,0.754
14938,331.201,0.821
14939,331.201,0.822
14940,332.152,0.813
14941,332.169,0.837
14942,333.54,0.826
14943,333.865,0.777
14944,336.782,0.63
14945,337.258,0.637
14946,337.29,0.649
14947,337.293,0.649
14948,337.513,0.63
14949,337.632,0.63
14950,338.605,0.634
14951,340.298,0.817
14952,340.531,0.637
14953,340.595,0.758
14954,341.148,0.678
14955,341.216,0.677
14956,341.227,0.639
14957,341.418,0.662
14958,341.69,0.641
14959,341.796,0.636
14960,342.982,0.818
14961,343.619,0.819
14962,344.612,0.683
14963,345.264,0.708
14964,346.279,0.812
14965,347.833,0.639
14966,349.296,0.727
14967,350.172,0.826
14968,350.52,0.772
14969,350.596,0.642
14970,350.764,0.641
14971,351.053,0.687
14972,352.377,0.675
14973,352.317,0.795
14974,353.7,0.632
14975,354.783,0.655
14976,355.55,0.683
14977,355.787,0.787
14978,356.057,0.804
