,RA,DEC
298,208.378,-1.051
299,216.322,-1.052
300,165.809,-0.654
301,167.41,-0.831
302,168.493,-0.74
303,170.042,-0.648
304,170.937,-0.836
305,170.938,-0.838
306,171.496,-0.833
307,174.391,-0.815
308,174.974,-0.829
309,175.661,-0.824
310,176.213,-0.669
311,176.406,-0.825
312,177.365,-0.801
313,177.375,-0.798
314,177.692,-0.733
315,177.963,-0.706
316,180.067,-0.743
317,181.259,-0.692
318,184.148,-0.71
319,184.559,-0.758
320,185.247,-0.651
321,187.535,-0.799
322,190.371,-0.72
323,190.824,-0.644
324,191.427,-0.669
325,191.421,-0.652
326,191.914,-0.756
327,192.081,-0.711
328,193.222,-0.823
329,194.063,-0.644
330,194.28,-0.808
331,195.06,-0.722
332,195.147,-0.705
333,195.382,-0.688
334,196.372,-0.65
335,196.445,-0.669
336,198.12,-0.679
337,198.972,-0.84
338,199.557,-0.644
339,199.646,-0.714
340,200.414,-0.641
341,201.31,-0.715
342,204.628,-0.702
343,205.139,-0.716
344,205.229,-0.662
345,206.355,-0.811
346,208.557,-0.777
347,208.641,-0.777
348,210.098,-0.635
349,210.708,-0.772
350,211.583,-0.789
351,211.921,-0.717
352,212.034,-0.827
353,212.749,-0.631
354,213.347,-0.647
355,213.758,-0.755
356,215.635,-0.705
357,217.345,-0.828
359,217.647,-0.803
360,218.237,-0.753
361,218.31,-0.63
362,218.427,-0.8
363,219.958,-0.718
364,219.958,-0.706
365,219.984,-0.744
366,220.022,-0.723
367,220.688,-0.655
368,220.769,-0.652
369,222.973,-0.723
370,229.321,-0.705
371,229.418,-0.712
372,229.599,-0.688
373,229.606,-0.64
374,230.23,-0.64
375,230.326,-0.757
376,231.185,-0.629
377,233.297,-0.73
378,234.541,-0.639
379,236.922,-0.686
380,237.235,-0.661
381,237.268,-0.673
382,238.689,-0.672
383,239.022,-0.692
384,239.44,-0.633
385,239.446,-0.642
386,240.281,-0.711
387,240.431,-0.664
388,240.51,-0.655
389,240.766,-0.683
390,241.023,-0.667
391,241.083,-0.639
392,241.733,-0.673
393,242.337,-0.645
394,165.891,-0.264
395,166.73,-0.313
396,168.645,-0.243
397,168.646,-0.243
398,168.644,-0.242
399,168.513,-0.39
400,168.569,-0.223
401,168.583,-0.218
402,169.631,-0.254
403,176.753,-0.294
404,177.91,-0.251
405,177.925,-0.214
406,179.076,-0.21
407,179.942,-0.334
408,180.032,-0.296
409,182.997,-0.363
410,183.81,-0.318
411,184.907,-0.326
412,184.958,-0.392
413,188.269,-0.286
414,188.794,-0.221
415,188.926,-0.215
416,190.678,-0.359
417,193.912,-0.265
418,193.934,-0.391
419,194.97,-0.216
420,196.205,-0.381
421,196.311,-0.373
422,198.135,-0.291
423,199.302,-0.364
424,199.495,-0.312
425,200.095,-0.402
426,201.508,-0.409
427,203.648,-0.353
428,203.649,-0.352
429,204.674,-0.254
430,204.956,-0.33
431,205.483,-0.359
432,206.042,-0.216
433,206.391,-0.216
434,207.063,-0.395
435,207.429,-0.314
436,209.104,-0.248
437,209.114,-0.287
438,209.115,-0.288
439,211.262,-0.251
440,211.775,-0.257
441,212.471,-0.384
442,212.793,-0.286
443,213.218,-0.379
444,215.599,-0.388
445,215.599,-0.374
446,217.889,-0.21
447,218.726,-0.343
448,219.472,-0.399
449,219.476,-0.398
450,219.471,-0.395
451,219.607,-0.311
452,219.946,-0.369
453,219.92,-0.303
454,220.048,-0.289
455,220.235,-0.318
456,220.692,-0.349
457,220.691,-0.351
458,220.751,-0.383
459,221.546,-0.223
460,221.552,-0.225
461,223.077,-0.229
462,223.353,-0.325
463,224.045,-0.349
464,226.725,-0.357
465,227.697,-0.348
466,229.002,-0.385
467,229.045,-0.325
468,229.843,-0.405
469,232.274,-0.348
470,232.303,-0.248
471,232.308,-0.374
472,232.534,-0.361
473,232.654,-0.232
474,232.681,-0.38
475,233.051,-0.296
476,233.237,-0.369
477,234.065,-0.349
478,235.205,-0.378
479,237.138,-0.285
480,238.698,-0.315
481,238.617,-0.328
482,238.682,-0.211
483,238.734,-0.337
484,238.739,-0.235
485,238.849,-0.318
486,238.866,-0.346
487,239.085,-0.271
488,239.348,-0.411
489,239.928,-0.251
490,240.173,-0.296
491,240.246,-0.344
492,240.328,-0.244
493,240.238,-0.413
494,240.377,-0.287
495,240.382,-0.332
496,240.596,-0.224
497,240.621,-0.237
498,240.936,-0.319
499,240.948,-0.298
500,241.122,-0.417
501,241.335,-0.356
502,241.487,-0.232
503,241.503,-0.211
504,241.67,-0.267
505,241.606,-0.352
506,241.644,-0.303
507,241.821,-0.411
508,241.844,-0.38
509,241.883,-0.299
510,241.904,-0.344
511,242.027,-0.225
512,242.173,-0.234
513,242.506,-0.323
514,242.579,-0.235
515,242.983,-0.387
516,243.02,-0.28
517,243.273,-0.303
518,243.352,-0.329
519,243.752,-0.346
520,244.063,-0.413
521,243.954,-0.307
522,244.275,-0.352
523,244.371,-0.263
524,244.382,-0.262
525,244.406,-0.231
526,244.467,-0.333
