RA,DEC
210.173,2.433
227.767,1.896
228.435,1.934
137.579,2.19
145.538,2.471
153.019,2.714
167.199,2.802
172.465,2.938
217.565,2.569
227.495,2.268
227.496,2.269
144.434,2.761
144.43,2.757
167.806,3.324
171.101,3.325
171.103,3.314
172.461,3.316
189.505,3.354
189.986,3.339
212.765,3.054
213.192,3.142
227.216,3.07
228.347,2.941
222.12,4.055
212.061,4.998
227.724,4.207
228.294,4.178
230.098,4.162
233.23,3.77
217.129,5.247
222.298,4.92
314.979,-7.425
318.88,-7.46
336.69,-9.267
342.201,-9.745
346.075,-10.04
309.885,-5.807
311.404,-6.033
311.404,-6.034
311.592,-6.182
312.745,-6.223
324.972,-7.748
335.839,-8.942
322.559,-7.16
331.832,-8.128
340.508,-8.774
314.001,-5.527
326.458,-7.062
329.394,-7.323
330.73,-7.49
331.685,-7.693
332.822,-7.655
319.486,-5.958
321.08,-6.127
324.834,-6.573
333.09,-7.342
337.779,-7.847
338.057,-7.842
354.153,-11.043
356.947,-11.112
1.818,-11.07
19.645,-10.902
23.248,-10.598
25.908,-10.612
26.2,-10.46
42.226,-9.077
42.763,-9.063
42.828,-9.053
25.599,-10.19
32.297,-9.546
41.758,-8.713
4.708,-10.368
13.589,-10.289
15.432,-10.12
30.666,-9.379
40.537,-8.564
59.391,-6.093
354.57,-9.722
36.299,-8.412
40.361,-8.146
44.458,-7.679
44.729,-7.532
26.64,-8.799
39.763,-7.807
53.591,-6.044
59.195,-5.273
355.748,-8.859
357.587,-8.886
5.32,-8.973
12.497,-8.892
12.975,-9.019
15.938,-8.962
15.936,-8.963
311.523,-7.161
317.608,-7.456
309.773,-6.032
314.058,-6.743
315.565,-6.864
326.532,-8.199
327.745,-8.395
310.195,-5.628
328.294,-7.591
310.879,-4.871
357.0,13.97
0.05,14.09
1.545,14.025
322.503,10.55
332.93,12.359
334.946,12.578
356.048,14.2
359.944,14.415
1.16,14.429
324.586,11.349
333.438,12.711
345.502,14.03
346.653,14.171
333.64,13.165
345.965,14.486
354.052,15.005
335.355,13.769
339.938,14.415
317.347,11.368
317.348,11.369
339.205,14.699
